"PRODUCT NDC","PRODUCT TYPE NAME","NONPROPRIETARY NAME","DOSAGE FORM NAME","ROUTE NAME","MARKETING CATEGORY NAME","ESTABLISHMENT INFORMATION","SUBSTANCE NAME","ACTIVE INGREDIENTS INFO","NDC PACKAGE CODE","PACKAGE DESCRIPTION","REPORTING PERIOD","DEA SCHEDULE"
"71285-0001","HUMAN COMPOUNDED DRUG","Microplegia (MSA/MSG 0.92 Molar) 125ml Bag","SOLUTION","INTRACORONARY","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","ASPARTIC ACID; GLUTAMIC ACID","9.8 g/125 mL; 10.7 g/125 mL","71285-0001-1","125 mL in 1 BAG (71285-0001-1)","2021-2, 2022-1, 2022-2",""
"71285-0001","HUMAN COMPOUNDED DRUG","Microplegia (MSA/MSG 0.92 Molar) 125ml Bag","SOLUTION","INTRACORONARY","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","ASPARTIC ACID; GLUTAMIC ACID","9.8 g/125 mL; 10.7 g/125 mL","71285-0001-1","125 mL in 1 BAG (71285-0001-1)","2021-2, 2022-1, 2022-2",""
"71285-0001","HUMAN COMPOUNDED DRUG","Microplegia (MSA/MSG 0.92 Molar) 125ml Bag","SOLUTION","INTRACORONARY","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","ASPARTIC ACID; GLUTAMIC ACID","9.8 g/125 mL; 10.7 g/125 mL","71285-0001-1","125 mL in 1 BAG (71285-0001-1)","2021-2, 2022-1, 2022-2",""
"71285-0002","HUMAN COMPOUNDED DRUG","Warm Induction 4 to1 High K (40mEq) 500ml","SOLUTION","INTRACORONARY","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","POTASSIUM CHLORIDE; ASPARTIC ACID; TROMETHAMINE; GLUTAMIC ACID; DEXTROSE MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; ANHYDROUS DEXTROSE; CITRIC ACID MONOHYDRATE","40 meq/500 mL; 4.9 g/500 mL; 4.05 g/500 mL; 5.35 g/500 mL; 12.6 g/500 mL; 29.5875 g/500 mL; 2.4975 g/500 mL; 52.2 g/500 mL; 3.67875 g/500 mL","71285-0002-1","500 mL in 1 BAG (71285-0002-1)","2021-2, 2022-2, 2022-1",""
"71285-0002","HUMAN COMPOUNDED DRUG","Warm Induction 4 to1 High K (40mEq) 500ml","SOLUTION","INTRACORONARY","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","POTASSIUM CHLORIDE; ASPARTIC ACID; TROMETHAMINE; GLUTAMIC ACID; DEXTROSE MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; ANHYDROUS DEXTROSE; CITRIC ACID MONOHYDRATE","40 meq/500 mL; 4.9 g/500 mL; 4.05 g/500 mL; 5.35 g/500 mL; 12.6 g/500 mL; 29.5875 g/500 mL; 2.4975 g/500 mL; 52.2 g/500 mL; 3.67875 g/500 mL","71285-0002-1","500 mL in 1 BAG (71285-0002-1)","2021-2, 2022-2, 2022-1",""
"71285-0002","HUMAN COMPOUNDED DRUG","Warm Induction 4 to1 High K (40mEq) 500ml","SOLUTION","INTRACORONARY","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","POTASSIUM CHLORIDE; ASPARTIC ACID; TROMETHAMINE; GLUTAMIC ACID; DEXTROSE MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; ANHYDROUS DEXTROSE; CITRIC ACID MONOHYDRATE","40 meq/500 mL; 4.9 g/500 mL; 4.05 g/500 mL; 5.35 g/500 mL; 12.6 g/500 mL; 29.5875 g/500 mL; 2.4975 g/500 mL; 52.2 g/500 mL; 3.67875 g/500 mL","71285-0002-1","500 mL in 1 BAG (71285-0002-1)","2021-2, 2022-2, 2022-1",""
"71285-0005","HUMAN COMPOUNDED DRUG","Reperfusate 4 to1 NO K 238.75ml Bag","SOLUTION","INTRACORONARY","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","ASPARTIC ACID; TROMETHAMINE; GLUTAMIC ACID; DEXTROSE MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE; ANHYDROUS DEXTROSE; CITRIC ACID MONOHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE","2.45392 g/238.75 mL; 2.0268 g/238.75 mL; 2.67928 g/238.75 mL; 6.09 g/238.75 mL; 14.8069 g/238.75 mL; 26.1232 g/238.75 mL; 1.84101 g/238.75 mL; 1.24986 g/238.75 mL","71285-0005-1","238.75 mL in 1 BAG (71285-0005-1)","2021-2, 2022-2, 2022-1",""
"71285-0005","HUMAN COMPOUNDED DRUG","Reperfusate 4 to1 NO K 238.75ml Bag","SOLUTION","INTRACORONARY","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","ASPARTIC ACID; TROMETHAMINE; GLUTAMIC ACID; DEXTROSE MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE; ANHYDROUS DEXTROSE; CITRIC ACID MONOHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE","2.45392 g/238.75 mL; 2.0268 g/238.75 mL; 2.67928 g/238.75 mL; 6.09 g/238.75 mL; 14.8069 g/238.75 mL; 26.1232 g/238.75 mL; 1.84101 g/238.75 mL; 1.24986 g/238.75 mL","71285-0005-1","238.75 mL in 1 BAG (71285-0005-1)","2021-2, 2022-2, 2022-1",""
"71285-0005","HUMAN COMPOUNDED DRUG","Reperfusate 4 to1 NO K 238.75ml Bag","SOLUTION","INTRACORONARY","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","ASPARTIC ACID; TROMETHAMINE; GLUTAMIC ACID; DEXTROSE MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE; ANHYDROUS DEXTROSE; CITRIC ACID MONOHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE","2.45392 g/238.75 mL; 2.0268 g/238.75 mL; 2.67928 g/238.75 mL; 6.09 g/238.75 mL; 14.8069 g/238.75 mL; 26.1232 g/238.75 mL; 1.84101 g/238.75 mL; 1.24986 g/238.75 mL","71285-0005-1","238.75 mL in 1 BAG (71285-0005-1)","2021-2, 2022-2, 2022-1",""
"71285-0006","HUMAN COMPOUNDED DRUG","Reperfusate 4 to1 NO K 477.5ml Bag","SOLUTION","INTRACORONARY","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","CITRIC ACID MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; ANHYDROUS DEXTROSE; ASPARTIC ACID; TROMETHAMINE; GLUTAMIC ACID; DEXTROSE MONOHYDRATE","3.67875 g/477.5 mL; 29.5875 g/477.5 mL; 2.4975 g/477.5 mL; 52.2 g/477.5 mL; 4.9 g/477.5 mL; 4.05 g/477.5 mL; 5.35 g/477.5 mL; 12.11 g/477.5 mL","71285-0006-1","477.5 mL in 1 BAG (71285-0006-1)","2022-1, 2021-2, 2022-2",""
