"PRODUCT NDC","PRODUCT TYPE NAME","NONPROPRIETARY NAME","DOSAGE FORM NAME","ROUTE NAME","MARKETING CATEGORY NAME","ESTABLISHMENT INFORMATION","SUBSTANCE NAME","ACTIVE INGREDIENTS INFO","NDC PACKAGE CODE","PACKAGE DESCRIPTION","REPORTING PERIOD","DEA SCHEDULE"
"69374-214","HUMAN COMPOUNDED DRUG","8.4% Sodium Bicarbonate 84mg/mL","INJECTION, SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Nephron Sterile Compounding Center, LLC","SODIUM BICARBONATE","84 mg/1 mL","69374-214-50","6 CARTON in 1 CASE (69374-214-50)  > 5 SYRINGE, PLASTIC in 1 CARTON > 50 mL in 1 SYRINGE, PLASTIC","2022-1",""
"69374-300","HUMAN COMPOUNDED DRUG","Succinylcholine Chloride 20 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Nephron Sterile Compounding Center, LLC","SUCCINYLCHOLINE CHLORIDE","20 mg/1 mL","69374-300-05","12 CARTON in 1 CASE (69374-300-05)  > 30 VIAL, PLASTIC in 1 CARTON > 5 mL in 1 VIAL, PLASTIC","2022-2, 2022-1",""
"69374-300","HUMAN COMPOUNDED DRUG","Succinylcholine Chloride 20 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Nephron Sterile Compounding Center, LLC","SUCCINYLCHOLINE CHLORIDE","20 mg/1 mL","69374-300-05","12 CARTON in 1 CASE (69374-300-05)  > 30 VIAL, PLASTIC in 1 CARTON > 5 mL in 1 VIAL, PLASTIC","2022-2, 2022-1",""
"69374-300","HUMAN COMPOUNDED DRUG","Succinylcholine Chloride 20 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Nephron Sterile Compounding Center, LLC","SUCCINYLCHOLINE CHLORIDE","20 mg/1 mL","69374-300-10","12 CARTON in 1 CASE (69374-300-10)  > 30 VIAL, PLASTIC in 1 CARTON > 10 mL in 1 VIAL, PLASTIC","2022-2, 2022-1",""
"69374-300","HUMAN COMPOUNDED DRUG","Succinylcholine Chloride 20 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Nephron Sterile Compounding Center, LLC","SUCCINYLCHOLINE CHLORIDE","20 mg/1 mL","69374-300-10","12 CARTON in 1 CASE (69374-300-10)  > 30 VIAL, PLASTIC in 1 CARTON > 10 mL in 1 VIAL, PLASTIC","2022-2, 2022-1",""
"69374-301","HUMAN COMPOUNDED DRUG","Phenylephrine vial 80mcg/mL","INJECTION, SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Nephron Sterile Compounding Center, LLC","PHENYLEPHRINE HYDROCHLORIDE","80 ug/1 mL","69374-301-10","12 CARTON in 1 CASE (69374-301-10)  > 30 VIAL, PLASTIC in 1 CARTON > 10 mL in 1 VIAL, PLASTIC","2022-2",""
"69374-302","HUMAN COMPOUNDED DRUG","Phenylephrine vial 100mcg/mL","INJECTION, SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Nephron Sterile Compounding Center, LLC","PHENYLEPHRINE HYDROCHLORIDE","100 ug/1 mL","69374-302-10","12 CARTON in 1 CASE (69374-302-10)  > 30 VIAL, PLASTIC in 1 CARTON > 10 mL in 1 VIAL, PLASTIC","2022-2, 2022-1",""
"69374-302","HUMAN COMPOUNDED DRUG","Phenylephrine vial 100mcg/mL","INJECTION, SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Nephron Sterile Compounding Center, LLC","PHENYLEPHRINE HYDROCHLORIDE","100 ug/1 mL","69374-302-10","12 CARTON in 1 CASE (69374-302-10)  > 30 VIAL, PLASTIC in 1 CARTON > 10 mL in 1 VIAL, PLASTIC","2022-2, 2022-1",""
"69374-305","HUMAN COMPOUNDED DRUG","Phenylephrine Hydrochloride 40 mcg/mL","INJECTION, SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Nephron Sterile Compounding Center, LLC","PHENYLEPHRINE HYDROCHLORIDE","40 ug/1 mL","69374-305-10","12 CARTON in 1 CASE (69374-305-10)  > 30 VIAL, PLASTIC in 1 CARTON > 10 mL in 1 VIAL, PLASTIC","2022-2",""
"69374-306","HUMAN COMPOUNDED DRUG","Epinephrine 0.1mg/1mL vial","INJECTION, SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Nephron Sterile Compounding Center, LLC","EPINEPHRINE HYDROCHLORIDE",".1 mg/1 mL","69374-306-10","12 CARTON in 1 CASE (69374-306-10)  > 30 VIAL, PLASTIC in 1 CARTON > 10 mL in 1 VIAL, PLASTIC","2022-2",""
