"PRODUCT NDC","PRODUCT TYPE NAME","NONPROPRIETARY NAME","DOSAGE FORM NAME","ROUTE NAME","MARKETING CATEGORY NAME","ESTABLISHMENT INFORMATION","SUBSTANCE NAME","ACTIVE INGREDIENTS INFO","NDC PACKAGE CODE","PACKAGE DESCRIPTION","REPORTING PERIOD","DEA SCHEDULE"
"70092-004","HUMAN COMPOUNDED DRUG","Amiodarone 450mg add to 250ml D5W IVB","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","AMIODARONE","450 mg/250 mL","70092-004-37","250 mL in 1 BAG (70092-004-37)","2022-2",""
"70092-005","HUMAN COMPOUNDED DRUG","Amiodarone 900mg add to 500ml D5W IVB","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","AMIODARONE","900 mg/500 mL","70092-005-38","500 mL in 1 BAG (70092-005-38)","2022-2",""
"70092-009","HUMAN COMPOUNDED DRUG","Labetalol HCl PF 5 mg/ml 4 ml-5 ml syrLabetalol HCl PF 5 mg/ml 4 ml-5 ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","LABETALOL HYDROCHLORIDE","20 mg/4 mL","70092-009-44","4 mL in 1 SYRINGE, PLASTIC (70092-009-44)","2022-2, 2022-1",""
"70092-009","HUMAN COMPOUNDED DRUG","Labetalol HCl PF 5 mg/ml 4 ml-5 ml syrLabetalol HCl PF 5 mg/ml 4 ml-5 ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","LABETALOL HYDROCHLORIDE","20 mg/4 mL","70092-009-44","4 mL in 1 SYRINGE, PLASTIC (70092-009-44)","2022-2, 2022-1",""
"70092-032","HUMAN COMPOUNDED DRUG","Midazolam PF 1mg/ml in 50ml NS  syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","MIDAZOLAM HYDROCHLORIDE","50 mg/50 mL","70092-032-50","50 mL in 1 SYRINGE, PLASTIC (70092-032-50)","2022-2, 2022-1","CIV"
"70092-032","HUMAN COMPOUNDED DRUG","Midazolam PF 1mg/ml in 50ml NS  syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","MIDAZOLAM HYDROCHLORIDE","50 mg/50 mL","70092-032-50","50 mL in 1 SYRINGE, PLASTIC (70092-032-50)","2022-2, 2022-1","CIV"
"70092-042","HUMAN COMPOUNDED DRUG","Phenylephrine 20 mg add to 250ml NS bag","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","PHENYLEPHRINE HYDROCHLORIDE","20 mg/250 mL","70092-042-05","250 mL in 1 BAG (70092-042-05)","2022-2, 2022-1",""
"70092-042","HUMAN COMPOUNDED DRUG","Phenylephrine 20 mg add to 250ml NS bag","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","PHENYLEPHRINE HYDROCHLORIDE","20 mg/250 mL","70092-042-05","250 mL in 1 BAG (70092-042-05)","2022-2, 2022-1",""
"70092-044","HUMAN COMPOUNDED DRUG","Phenylephrine 25 mg add to 250ml NS bag","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","PHENYLEPHRINE HYDROCHLORIDE","25 mg/250 mL","70092-044-05","250 mL in 1 BAG (70092-044-05)","2022-2, 2022-1",""
"70092-044","HUMAN COMPOUNDED DRUG","Phenylephrine 25 mg add to 250ml NS bag","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","PHENYLEPHRINE HYDROCHLORIDE","25 mg/250 mL","70092-044-05","250 mL in 1 BAG (70092-044-05)","2022-2, 2022-1",""
