rxcui_from,tty_from,rxcui_to,tty_to
1663184,SBDF,583218,SBD
1663184,SBDF,583214,SCD
1663181,SCDF,583218,SBD
1663181,SCDF,583214,SCD
367771,SBDF,211194,SBD
367771,SBDF,238154,SCD
367776,SBDF,211189,SBD
367776,SBDF,238154,SCD
374751,SCDF,211189,SBD
374751,SCDF,211194,SBD
374751,SCDF,238154,SCD
374751,SCDF,240093,SCD
1012394,SBDF,1012381,SBD
1012394,SBDF,1012388,SBD
1012394,SBDF,1012377,SCD
1012394,SBDF,1012384,SCD
1012399,SBDF,1012400,SBD
1012399,SBDF,1012406,SBD
1012399,SBDF,1012396,SCD
1012399,SBDF,1012404,SCD
1012416,SBDF,1012413,SBD
1012416,SBDF,1012417,SBD
1012416,SBDF,1012377,SCD
1012416,SBDF,1012384,SCD
1673141,SBDF,1673142,SBD
1673141,SBDF,1670365,SCD
1673146,SBDF,1673242,SBD
1673146,SBDF,1673243,SBD
1673146,SBDF,1867612,SBD
1673146,SBDF,1867614,SBD
1673146,SBDF,1672917,SCD
1673146,SBDF,1672919,SCD
1673146,SBDF,1867594,SCD
1673146,SBDF,1867596,SCD
1673295,SBDF,1012421,SBD
1673295,SBDF,1673296,SBD
1673295,SBDF,1673298,SBD
1673295,SBDF,1867618,SBD
1673295,SBDF,1867620,SBD
1673295,SBDF,1012391,SCD
1673295,SBDF,1672917,SCD
1673295,SBDF,1672919,SCD
1673295,SBDF,1867594,SCD
1673295,SBDF,1867596,SCD
1719661,SBDF,1012461,SBD
1719661,SBDF,1670365,SCD
1724791,SBDF,1724792,SBD
1724791,SBDF,1724794,SBD
1724791,SBDF,1724796,SBD
1724791,SBDF,1725044,SBD
1724791,SBDF,1725046,SBD
1724791,SBDF,1725079,SBD
1724791,SBDF,1725083,SBD
1724791,SBDF,1724784,SCD
1724791,SBDF,1724786,SCD
1724791,SBDF,1724787,SCD
1724791,SBDF,1724880,SCD
1724791,SBDF,1724884,SCD
1724791,SBDF,1725078,SCD
