rxcui,tty,name
1663181,SCDF,paclitaxel Injection
1663184,SBDF,paclitaxel Injection [Abraxane]
1163532,SCDG,paclitaxel Injectable Product
1165953,SBDG,Abraxane Injectable Product
583214,SCD,paclitaxel 100 MG Injection
583218,SBD,paclitaxel 100 MG Injection [Abraxane]
374751,SCDF,acetaminophen / butalbital / caffeine Oral Tablet
367776,SBDF,acetaminophen / butalbital / caffeine Oral Tablet [Esgic]
367771,SBDF,acetaminophen / butalbital / caffeine Oral Tablet [Repan]
1152255,SCDG,acetaminophen / butalbital / caffeine Oral Product
1152256,SCDG,acetaminophen / butalbital / caffeine Pill
1169698,SBDG,Esgic Oral Product
1169699,SBDG,Esgic Pill
1181337,SBDG,Repan Oral Product
1181338,SBDG,Repan Pill
238154,SCD,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet
240093,SCD,acetaminophen 500 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet
211189,SBD,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet [Esgic]
211194,SBD,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet [Repan]
371160,SCDF,bupivacaine Injectable Solution
1724783,SCDF,bupivacaine Injection
2395790,SCDF,bupivacaine Drug Implant
1670364,SCDF,bupivacaine / epinephrine Cartridge
374372,SCDF,bupivacaine / epinephrine Injectable Solution
1672916,SCDF,bupivacaine / epinephrine Injection
437117,SCDF,bupivacaine / lidocaine Injectable Solution
2560316,SCDF,bupivacaine / meloxicam Injection
1012399,SBDF,bupivacaine Injectable Solution [Marcaine]
94058,SBDF,bupivacaine Injectable Solution [Sensorcaine]
2285805,SBDF,bupivacaine Injection [Exparel]
1724791,SBDF,bupivacaine Injection [Marcaine]
2566189,SBDF,bupivacaine Injection [Nocita]
2563415,SBDF,bupivacaine Injection [Posimir]
1724806,SBDF,bupivacaine Injection [Sensorcaine]
2395795,SBDF,bupivacaine Drug Implant [Xaracoll]
1673141,SBDF,bupivacaine / epinephrine Cartridge [Marcaine with Epinephrine]
1719661,SBDF,bupivacaine / epinephrine Cartridge [Vivacaine]
1012394,SBDF,bupivacaine / epinephrine Injectable Solution [Marcaine with Epinephrine]
1012416,SBDF,bupivacaine / epinephrine Injectable Solution [Sensorcaine with Epinephrine]
1673146,SBDF,bupivacaine / epinephrine Injection [Marcaine with Epinephrine]
1673295,SBDF,bupivacaine / epinephrine Injection [Sensorcaine with Epinephrine]
2560317,SBDF,bupivacaine / meloxicam Injection [Zynrelef]
2648288,SCDFP,bupivacaine hydrochloride Injectable Solution
2645894,SCDFP,bupivacaine hydrochloride Injection
2647866,SCDFP,bupivacaine hydrochloride Drug Implant
2646048,SCDFP,bupivacaine liposome Injection
2648403,SCDFP,bupivacaine hydrochloride / epinephrine Cartridge
2647181,SCDFP,bupivacaine hydrochloride / epinephrine Injectable Solution
2645891,SCDFP,bupivacaine hydrochloride / epinephrine Injection
2646864,SCDFP,bupivacaine hydrochloride / lidocaine hydrochloride Injectable Solution
2654710,SBDFP,bupivacaine hydrochloride Injectable Solution [Marcaine]
2658132,SBDFP,bupivacaine hydrochloride Injectable Solution [Sensorcaine]
2657348,SBDFP,bupivacaine hydrochloride Injection [Marcaine]
2657347,SBDFP,bupivacaine hydrochloride Injection [Sensorcaine]
2659056,SBDFP,bupivacaine hydrochloride Drug Implant [Xaracoll]
2656165,SBDFP,bupivacaine liposome Injection [Exparel]
2658355,SBDFP,bupivacaine liposome Injection [Nocita]
2655637,SBDFP,bupivacaine hydrochloride / epinephrine Cartridge [Marcaine with Epinephrine]
2654572,SBDFP,bupivacaine hydrochloride / epinephrine Cartridge [Vivacaine]
2657226,SBDFP,bupivacaine hydrochloride / epinephrine Injectable Solution [Marcaine with Epinephrine]
2655129,SBDFP,bupivacaine hydrochloride / epinephrine Injectable Solution [Sensorcaine with Epinephrine]
2658029,SBDFP,bupivacaine hydrochloride / epinephrine Injection [Marcaine with Epinephrine]
2658682,SBDFP,bupivacaine hydrochloride / epinephrine Injection [Sensorcaine with Epinephrine]
1151356,SCDG,bupivacaine Injectable Product
2395789,SCDG,bupivacaine Drug Implant Product
1151351,SCDG,bupivacaine / epinephrine Injectable Product
1151354,SCDG,bupivacaine / lidocaine Injectable Product
2560233,SCDG,bupivacaine / meloxicam Injectable Product
1191512,SBDG,Exparel Injectable Product
1180417,SBDG,Marcaine Injectable Product
1180419,SBDG,Marcaine with Epinephrine Injectable Product
2566188,SBDG,Nocita Injectable Product
2563416,SBDG,Posimir Injectable Product
1178964,SBDG,Sensorcaine Injectable Product
1178965,SBDG,Sensorcaine with Epinephrine Injectable Product
1187394,SBDG,Vivacaine Injectable Product
2395796,SBDG,Xaracoll Drug Implant Product
2560305,SBDG,Zynrelef Injectable Product
2661322,SCDGP,bupivacaine hydrochloride Injectable Product
2663553,SCDGP,bupivacaine hydrochloride Drug Implant Product
2659292,SCDGP,bupivacaine liposome Injectable Product
2662588,SCDGP,bupivacaine hydrochloride / epinephrine Injectable Product
2660688,SCDGP,bupivacaine hydrochloride / lidocaine hydrochloride Injectable Product
2563412,SCD,5 ML bupivacaine 132 MG/ML Injection
1012431,SCD,bupivacaine hydrochloride 1.05 MG/ML Injectable Solution
1724784,SCD,2 ML bupivacaine hydrochloride 7.5 MG/ML Injection
1012396,SCD,bupivacaine hydrochloride 2.5 MG/ML Injectable Solution
1012404,SCD,bupivacaine hydrochloride 5 MG/ML Injectable Solution
2178759,SCD,5 ML bupivacaine hydrochloride 2.5 MG/ML Injection
2178760,SCD,5 ML bupivacaine hydrochloride 5 MG/ML Injection
1725078,SCD,10 ML bupivacaine hydrochloride 2.5 MG/ML Injection
1724880,SCD,10 ML bupivacaine hydrochloride 5 MG/ML Injection
1724787,SCD,10 ML bupivacaine hydrochloride 7.5 MG/ML Injection
1725696,SCD,20 ML bupivacaine hydrochloride 2.5 MG/ML Injection
1725082,SCD,30 ML bupivacaine hydrochloride 2.5 MG/ML Injection
1724884,SCD,30 ML bupivacaine hydrochloride 5 MG/ML Injection
1724786,SCD,30 ML bupivacaine hydrochloride 7.5 MG/ML Injection
2395791,SCD,bupivacaine hydrochloride 100 MG Drug Implant
1745061,SCD,10 ML bupivacaine liposome 13.3 MG/ML Injection
1191508,SCD,20 ML bupivacaine liposome 13.3 MG/ML Injection
2560321,SCD,7 ML bupivacaine 29.3 MG/ML / meloxicam 0.88 MG/ML Injection
2560312,SCD,14 ML bupivacaine 29.3 MG/ML / meloxicam 0.88 MG/ML Injection
1670365,SCD,1.8 ML bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Cartridge
1012377,SCD,bupivacaine hydrochloride 2.5 MG/ML / epinephrine 0.005 MG/ML Injectable Solution
1012384,SCD,bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Injectable Solution
1867594,SCD,10 ML bupivacaine hydrochloride 2.5 MG/ML / epinephrine 0.005 MG/ML Injection
1672917,SCD,10 ML bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Injection
