ndc,rxcui
00480329001,583214
00517430001,583214
00781353191,583214
24979071051,583214
60505623004,583214
67457093750,583214
68001065137,583214
69097039878,583214
71288018350,583214
72603040801,583214
75007004101,583214
68817013450,583218
00143178701,238154
00143178705,238154
00527169501,238154
00527169505,238154
00591336901,238154
00591336905,238154
00603254421,238154
00603254428,238154
00904693806,238154
10702025301,238154
10702025350,238154
33358005930,238154
33358005960,238154
43063036910,238154
43063036915,238154
43063036920,238154
43063036930,238154
43063036960,238154
45865035230,238154
45865035251,238154
45865035260,238154
45865035290,238154
46672005310,238154
46672005350,238154
47781062501,238154
47781062505,238154
50090210500,238154
50090210503,238154
50090256400,238154
50090256403,238154
50090704200,238154
50090704203,238154
50090751900,238154
50268055311,238154
50268055313,238154
50436169501,238154
50436485601,238154
50436485602,238154
51407055601,238154
51407055605,238154
51655059029,238154
51655059050,238154
51862054001,238154
51862054005,238154
52959037000,238154
52959037002,238154
52959037012,238154
52959037020,238154
52959037025,238154
52959037030,238154
52959037050,238154
52959037060,238154
52959037090,238154
55154335600,238154
55700066230,238154
58864085730,238154
60429058901,238154
60429058905,238154
60687067211,238154
60687067265,238154
60760086512,238154
61919002230,238154
61919002260,238154
61919002290,238154
62135075101,238154
63187052030,238154
63187052060,238154
63187052090,238154
63187093314,238154
63187093330,238154
63187093360,238154
63187093390,238154
63629177402,238154
63629177403,238154
63629177405,238154
63629214001,238154
63629215101,238154
63629839200,238154
63629839201,238154
63629839202,238154
63629839203,238154
63629839204,238154
63629839205,238154
63629839206,238154
63629839207,238154
63629839208,238154
63629839209,238154
64380015701,238154
64380015702,238154
66267003912,238154
66267003984,238154
67296220401,238154
67544038330,238154
68071324900,238154
68071324902,238154
68071324903,238154
68071324906,238154
68788412602,238154
68788412603,238154
68788813702,238154
68788813703,238154
68788879402,238154
68788879403,238154
69367020301,238154
69367020305,238154
70010014901,238154
70010014905,238154
70518113400,238154
70518113401,238154
70518113402,238154
70518430900,238154
70518430901,238154
70518446700,238154
70518446701,238154
70518446702,238154
70518446703,238154
70518460100,238154
70518460101,238154
70518460102,238154
70752014210,238154
70752014214,238154
71205051014,238154
71205051030,238154
71205051060,238154
71205051090,238154
71205098100,238154
71205098130,238154
71205098155,238154
71205098160,238154
71205098172,238154
71205098190,238154
71335034700,238154
71335034701,238154
71335034702,238154
71335034703,238154
71335034704,238154
71335034705,238154
71335034706,238154
71335034707,238154
71335034708,238154
71335034709,238154
71335036500,238154
71335036501,238154
71335036502,238154
71335036503,238154
71335036504,238154
71335036505,238154
71335036506,238154
71335036507,238154
71335036508,238154
71335036509,238154
71335176400,238154
71335176401,238154
71335176402,238154
71335176403,238154
71335176404,238154
71335176405,238154
71335176406,238154
71335176407,238154
71335176408,238154
71335176409,238154
71335176700,238154
71335176701,238154
71335176702,238154
71335176703,238154
71335176704,238154
71335176705,238154
71335176706,238154
71335176707,238154
71335176708,238154
71335176709,238154
71335227000,238154
71335227001,238154
71335227002,238154
71335227003,238154
71335227004,238154
71335227005,238154
71335227006,238154
71335227007,238154
71335227008,238154
71335227009,238154
71335227200,238154
71335227201,238154
71335227202,238154
71335227203,238154
71335227204,238154
71335227205,238154
71335227206,238154
71335227207,238154
71335227208,238154
71335227209,238154
71335254600,238154
71335254601,238154
71335254602,238154
71335254603,238154
71335254604,238154
71335254605,238154
71335254606,238154
71335254607,238154
71335254608,238154
71335254609,238154
71335263000,238154
71335263001,238154
71335263002,238154
71335263003,238154
71335263004,238154
71335263005,238154
71335263006,238154
71335263007,238154
71335263008,238154
71335263009,238154
71335960300,238154
71335960301,238154
71335960302,238154
71335960303,238154
71335960304,238154
71335960305,238154
71335960306,238154
71335960307,238154
71335960308,238154
71335960309,238154
71610004230,238154
71610004253,238154
71610004260,238154
71610004270,238154
72189044112,238154
72189044130,238154
72189044160,238154
72189060012,238154
72189060030,238154
72189060060,238154
76420080201,238154
76420080205,238154
76420080210,238154
76420080212,238154
76420080220,238154
76420080230,238154
76420080260,238154
76420080290,238154
79739732001,238154
79739732005,238154
80425056701,238154
80425056702,238154
80425056703,238154
80425057001,238154
80425057002,238154
80425057003,238154
68308022001,211189
00642016210,211194
00264937988,1724784
00409361301,1724784
00409361311,1724784
36000009210,1724784
71351002202,1724784
71351002210,1724784
71351002250,1724784
73293000201,1724784
73293000202,1724784
00143932801,1012396
00143932810,1012396
00404982650,1012396
00409116001,1012396
00409116018,1012396
51662158102,1012396
51662158103,1012396
51662160602,1012396
51662160603,1012396
55150024950,1012396
70069075201,1012396
70069075210,1012396
70069075225,1012396
70594011601,1012396
71288072352,1012396
71872713301,1012396
71872721701,1012396
72603027901,1012396
72603027925,1012396
83270016801,1012396
84549025902,1012396
00143932901,1012404
00143932910,1012404
00247108250,1012404
00404982750,1012404
00409116301,1012404
00409116318,1012404
50090451600,1012404
51662139601,1012404
51662139602,1012404
51662139603,1012404
51662163802,1012404
51662163803,1012404
55150025050,1012404
70069075301,1012404
70069075310,1012404
70069075325,1012404
70594011901,1012404
71288072652,1012404
71872727001,1012404
72603028701,1012404
72603028725,1012404
83270016901,1012404
83854000601,1012404
59923071705,2178759
59923071805,2178760
00143933001,1725078
00143933010,1725078
00409115901,1725078
00409115918,1725078
31722027510,1725078
31722027531,1725078
31722027532,1725078
55150016710,1725078
70594011401,1725078
70594011402,1725078
71288072111,1725078
72266026301,1725078
72266026310,1725078
72603032701,1725078
72603032710,1725078
72603032725,1725078
76420001810,1725078
83270016210,1725078
83854000401,1725078
83854000410,1725078
85766007401,1725078
85766007425,1725078
00143933101,1724880
00143933110,1724880
00409116201,1724880
00409116218,1724880
31722027610,1724880
31722027631,1724880
31722027632,1724880
55150016910,1724880
70594011701,1724880
70594011702,1724880
71288072411,1724880
72266026401,1724880
72266026410,1724880
72603050601,1724880
72603050610,1724880
72603050625,1724880
76420000810,1724880
76420056110,1724880
76420057910,1724880
83270016310,1724880
85766001310,1724880
00143933201,1724787
00143933210,1724787
00409116501,1724787
00409116518,1724787
31722027710,1724787
31722027731,1724787
31722027732,1724787
55150017110,1724787
70594012001,1724787
70594012002,1724787
71288072711,1724787
72603070001,1724787
72603070010,1724787
72603070025,1724787
83270016410,1724787
00143933301,1725082
00143933310,1725082
00409115902,1725082
00409115909,1725082
00409115910,1725082
00409115919,1725082
31722027530,1725082
31722027533,1725082
31722027534,1725082
31722027535,1725082
55150016830,1725082
55154697005,1725082
70594011501,1725082
71288072232,1725082
72603041501,1725082
72603041510,1725082
72603041525,1725082
83270016501,1725082
00143933401,1724884
00143933410,1724884
00409116202,1724884
00409116209,1724884
00409116210,1724884
00409116219,1724884
31722027630,1724884
31722027633,1724884
31722027634,1724884
55150017030,1724884
70594011801,1724884
71288072532,1724884
72603060201,1724884
72603060225,1724884
83270016601,1724884
84549016202,1724884
00143933501,1724786
00143933510,1724786
00409116401,1724786
00409116502,1724786
00409116519,1724786
31722027730,1724786
31722027733,1724786
31722027734,1724786
55150017230,1724786
70594012101,1724786
71288072832,1724786
72603080001,1724786
72603080025,1724786
83270016701,1724786
83854000501,1724786
83854000510,1724786
57884325101,1745061
57884325201,1191508
00404982830,1012377
00409904301,1012377
00409904311,1012377
51662139701,1012377
51662139702,1012377
51662139703,1012377
00409904601,1012384
00409904611,1012384
00409904201,1867594
00409904211,1867594
00409904501,1672917
00409904511,1672917
00404990830,1867596
00409904216,1867596
00409904217,1867596
00409904516,1672919
00409904517,1672919
51715066001,2563417
51715066010,2563417
54274000101,2563417
00074361352,1724792
00409176102,1724792
00409176105,1724792
00409176110,1724792
00409176118,1724792
00409176119,1724792
00409176162,1724792
63323047302,1724807
00409158750,1012400
00404994550,1012455
63323046501,1012455
63323046557,1012455
00409052501,1012406
00409052525,1012406
00409161050,1012406
00404994750,1012457
63323046701,1012457
63323046757,1012457
00404977010,1725079
00409155910,1725079
00409155918,1725079
00409251001,1725079
00409251025,1725079
63323046401,1725175
63323046408,1725175
63323046417,1725175
63323046438,1725175
00409156010,1725044
00409156018,1725044
00409501001,1725044
00409501025,1725044
00404994610,1724881
63323046603,1724881
63323046608,1724881
63323046617,1724881
63323046638,1724881
00409158210,1724796
00409158218,1724796
63323047203,1724809
63323047217,1724809
00409155919,1725083
00409155930,1725083
00409753501,1725083
00409753525,1725083
63323046402,1725177
63323046403,1725177
63323046409,1725177
63323046431,1725177
63323046437,1725177
63323046439,1725177
00404976830,1725046
00409153001,1725046
00409153025,1725046
00409156019,1725046
00409156029,1725046
00186103391,1724885
63323046601,1724885
63323046602,1724885
63323046609,1724885
63323046631,1724885
63323046637,1724885
63323046639,1724885
00409158219,1724794
00409158229,1724794
00409225301,1724794
00409225325,1724794
00186103701,1724810
63323047201,1724810
63323047237,1724810
65250013304,1745062
65250013309,1745062
65250013310,1745062
58198553101,2566190
58198553102,2566190
58198553103,2566190
58198553104,2566190
65250026604,1191513
65250026609,1191513
65250026620,1191513
47426030301,2560306
47426030303,2560306
47426030305,2560306
47426050301,2560306
47426050303,2560306
47426030102,2560308
47426030104,2560308
47426030106,2560308
47426050102,2560308
